State: North Carolina
Profession: Physician
Specialty/PAOP: Physician
Variable: rate per 10k
"Notes: Data include active, licensed physicians in practice in North Carolina as of October 31 of each year who are not residents-in-training"
" and are not employed by the Federal government. Physician data are derived from the North Carolina Medical Board. County"
" estimates are based on primary practice location. Population census data and estimates are downloaded from the North Carolina"
" Office of State Budget and Management via NC LINC and are based on US Census data. Source: North Carolina Health Professions"
" Data System, Program on Health Workforce Research and Policy, Cecil G. Sheps Center for Health Services Research, University"
" of North Carolina at Chapel Hill. Created March 25, 2020 at https://nchealthworkforce.unc.edu/supply/."
county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Davidson,7.88,8.05,8.01,7.9,7.73,7.75,8.05,7.99,7.68,7.88,7.83,7.77,7.71,7.21,6.81,6.84,6.68,6.64,6.6
Davie,6.6,6.07,5.96,5.33,5.55,4.92,5.27,5.93,5.61,5.27,7.01,8.18,7.97,8.67,8.2,9.34,9.95,8.19,9.94
Duplin,6.52,5.85,5.13,5.02,5.4,5.56,4.55,3.76,4.49,5.03,5.45,5.55,5.99,5.16,4.82,6.01,6.38,6.39,6.22
Durham,64.17,65.81,67.36,67.98,68.89,68.32,67.05,65.79,65.42,64.58,72.96,74.69,73.7,74.5,73.99,71.8,73.73,75.38,78.56
Edgecombe,6.29,7.31,7.14,6.78,7.07,6.91,6.27,6.56,7.14,8.18,7.41,6.6,7.49,7.54,7.75,7.73,8.22,9.27,9.4
Forsyth,37.25,38.7,39.39,39.12,39.46,40.82,40.71,40.54,42.24,40.72,44.54,47,48.47,50.18,51.83,52.57,53.83,54.88,54.93
Franklin,6.14,6.15,5.81,5.48,5.87,6.64,4.34,5.85,5.35,4.22,4.1,3.57,3.72,4.78,5.38,3.74,2.14,1.2,1.33
Gaston,16.34,16.85,16.98,17,17.75,18.06,18,18.11,18.29,18.09,19.04,19.23,19.23,18.42,18.27,18.72,18.33,18.03,18.27
Gates,2.85,1.91,2.83,2.8,2.76,0.9,0.86,0.85,0.86,0.86,0.82,0.84,0.85,0.84,1.68,0.85,0,0,0.83
Graham,5,3.73,4.93,3.67,3.69,4.94,4.93,7.37,6.18,4.8,3.38,3.35,4.52,5.65,4.53,4.57,4.53,4.53,4.51
Granville,15.46,15.3,15.21,14.73,13.31,12.6,13.75,14.37,14.58,16.19,17.3,19.22,21.15,21.24,19.96,20.67,21.2,21.01,19.81
Greene,1.58,2.1,3.09,2.52,2.47,3.45,2.4,2.84,3.77,3.74,4.21,4.19,5.15,5.22,6.11,6.14,6.07,4.65,5.58
Guilford,21.92,22.38,22.52,22.55,22.94,23.59,24.47,24.05,23.97,23.91,23.94,24.33,24.15,24.16,24.4,24.38,24.57,24.56,24.56
Halifax,12.2,12.96,13.28,13.6,13.52,14.73,12.95,13.73,13.4,13.41,13.18,13.24,13.28,13.22,14.48,14.69,14.95,14.09,13.79
Harnett,7.25,7.47,7.06,6.98,6.68,6.49,5.4,5.16,6.02,5.85,6.49,5.31,6.35,6.33,6.6,6.53,7.3,7.18,7.29
Haywood,15.55,16.12,17.02,18.07,17.37,17.51,18.53,16.48,17.68,16.54,18.09,17.43,18.72,17.43,15.36,18.64,18.94,17.18,18.32
Henderson,23.44,23.16,23.76,24.66,23.56,23.41,22.18,22.03,21.76,21.38,22.58,22.31,23.39,23.24,23.17,23.11,23.52,23.33,23.15
Hertford,15.49,18.03,17.09,17.5,16.39,16.78,16.32,17.7,17.3,17.53,15.78,15.12,17.59,15.43,18.31,18.01,19.14,20.04,22.22
Hoke,4.46,4.31,3.6,3.47,3.67,3.27,3.32,2.8,2.93,2.6,2.75,2.45,2.2,2.76,3.53,3.28,3.45,4.87,4.57
Hyde,1.72,3.49,1.73,3.43,1.73,1.78,0,1.84,1.81,0,1.72,1.72,1.74,1.72,3.49,1.78,1.78,1.77,1.78
Iredell,18.02,18.06,18.34,18.46,18.55,18.33,19.28,19.28,18.81,18.98,21.36,20.68,20.36,19.64,19.08,19.09,18.57,19.26,18.97
Jackson,22.64,21.98,21.06,21.88,21.89,22.35,21.48,22.55,21.08,21.58,19.76,18.72,19.37,19.36,22.17,21.88,21.61,21.11,20.15
Johnston,6.97,7.12,6.73,6.87,7.46,6.99,7.32,7.18,7.13,7.61,7.58,7.36,7.15,7.33,7.22,7.7,7.92,7.7,7.35
Jones,20.23,20.38,19.26,21.98,20.47,21.53,27.14,24.24,23.31,24.62,15.75,14.53,8.48,17.06,15.28,14.39,13.52,13.52,13.52
Lee,17.13,16.65,16.73,16.82,17.01,14.66,15.01,14.9,15.3,14.85,15.33,14.92,15.23,15.84,15.37,15.79,14.35,14.83,15.47
Lenoir,16.77,17.7,18.82,19.92,19.97,19.87,16.85,17.52,18.25,18,17.14,16.35,17,16.09,15.98,17.31,17.54,17.4,16.91
Lincoln,9.56,8.87,9.13,8.8,8.31,6.36,7.71,7.56,7.78,8.45,9.53,9.49,10.47,11.16,9.97,9.83,10.24,9.37,10.18
Macon,22.14,23.02,20.3,21.16,20.33,21.39,21.46,33.67,19.58,20.88,22.68,21.18,20.3,20.5,20.91,20.42,22.26,21.18,20.96
Madison,5.6,5.56,5.99,6.89,6.93,7.37,7.34,5.86,6.25,6.24,5.29,5.19,5.19,5.61,5.1,6.46,6.82,7.64,5.78
Martin,8.21,7.1,7.87,7.07,7.22,6.93,6.97,4.54,7.96,7.96,8.16,7.89,7.49,8.42,8.43,9.26,9.32,10.21,8.97
McDowell,8.3,8.4,8.28,7.92,7.56,6.66,6.65,8.92,8.08,7.6,8.22,8.8,9.72,9.29,9.27,7.93,8.13,8.75,8.28
Mecklenburg,24.34,24.28,24.14,24.46,24.89,25.87,26,26.59,27.77,28.06,27.13,27.7,28.02,29.07,29.65,29.65,30.79,31.37,32.06
Mitchell,15.94,14.49,13.79,13.73,14.95,15.53,18.25,17.55,16.84,17.53,15.4,18.06,16.24,15.58,17.06,14.35,18.34,17.06,15.12
Montgomery,4.85,5.19,5.12,3.97,4.34,3.67,2.54,2.17,2.89,2.5,2.52,1.79,2.15,3.6,3.24,2.52,2.52,2.87,3.22
Moore,26.88,27.63,27.87,27.72,27.78,29.44,29.65,30.98,31.3,31.28,31.6,31.43,32.96,32.09,34.7,34.5,35.9,34.43,34.61
Nash,17.73,18.45,17.79,18.69,19.44,19.99,20.06,18.51,19.26,18.47,18.19,18.93,18.21,18.05,18.3,19.39,17.58,18.23,18.53
New Hanover,30.13,31.07,31.69,31.99,32.35,33.26,32.91,32.22,33.39,33.18,31.56,32.35,32.39,32.27,32.03,32.01,32.29,32.96,32.87
Northampton,4.53,3.63,4.07,4.05,4.12,4.18,3.25,3.3,3.31,2.38,2.71,2.29,1.86,2.82,2.83,1.9,1.92,1.93,1.95
Onslow,9.24,8.82,7.96,7.97,7.26,7.16,7.82,7.27,7.33,7.3,8.37,8.25,9,9.18,9.37,9.71,9.49,9.15,8.66
Orange,87.21,88.71,89.23,90.21,90.18,92.92,87.02,89.21,93.34,88.88,90.53,94.42,94.24,105.44,110.62,114.74,117.85,118.78,119.62
Pamlico,6.19,6.23,4.62,6.85,6.12,5.33,4.58,5.41,5.43,4.67,4.56,6.05,5.31,5.36,6.09,6.83,6,6.78,6.77
Pasquotank,27.51,26.83,28.85,26.91,26.17,26.5,25.77,25.44,22.34,22.06,26.56,25.72,26.04,26.86,26.71,27.18,28.55,26.36,25.49
Pender,5.36,5.23,4.16,4.27,4.02,3.68,3.9,3.97,3.86,3.77,4.76,3.93,4.78,3.42,3.36,3.45,4.04,3.77,3.52
Perquimans,1.76,1.73,1.72,1.71,1.69,1.68,1.6,1.57,1.55,1.54,2.22,2.22,2.2,2.18,2.93,1.47,2.21,2.21,2.21
Person,7.86,8.86,8.46,7.8,8.78,9.91,9.08,8.77,9.6,10.19,9.85,10.58,10.46,9.95,10.44,10.36,10.07,9.03,8.75
Pitt,40.58,42.67,42.91,42.79,43.4,44.71,44.88,43.63,42.99,42.31,43.57,45.4,43.56,46.47,47.53,47.17,47.25,49.43,50.25
Polk,10.91,12.74,9.38,11.77,11.98,13.04,13.1,14.71,12.64,17.58,15.06,13.2,13.82,14.08,13.02,12.96,13.79,13.24,14.1
Randolph,9.35,8.85,9.2,8.95,9.61,9.25,9.16,9.47,9.43,9.19,9.5,9.38,9.12,8.56,8.25,7.63,7.58,7.33,7.69
Richmond,12.46,11.38,11.13,10.88,9.66,10.12,10.06,10.71,11.53,11.31,11.15,11.62,10.38,11.29,10.54,9.7,8.91,8.91,7.14
Robeson,11.27,11.12,10.79,10.55,10.92,10.98,10.46,10.43,10.66,11.59,11.45,12.03,12.12,12.46,13.93,13.35,12.97,12.5,13.62
Rockingham,10.66,11.66,11.47,10.75,11.63,11.71,11.54,10.69,11.34,10.01,9.92,10.05,11.52,11.49,10.91,10.53,10.23,10.68,10.36
Rowan,12.35,12.15,12.02,11.24,11.03,11.48,11.15,12.68,11.77,12.1,12.33,12.73,12.37,12.62,12.9,12.42,12.48,12.4,11.97
Rutherford,12.56,12.78,13.45,13.02,13.31,13.72,13.61,13.51,13.84,12.38,11.47,11.4,11.19,11.95,11.39,10.35,9.45,9.44,10.31
Sampson,8.48,8.37,8.49,8.13,8.02,8.36,10.46,9.92,9.48,9.48,8.98,9.26,9.2,8.86,9.63,9.53,9.13,9.82,9.23
Scotland,16.11,17.07,15.84,15.45,15.41,17,15.68,15.48,16.72,17.6,17.18,18.04,18.42,19.6,19.97,18.7,16.76,17.93,18.26
Stanly,10.84,10.89,13.13,12.99,13.61,12.97,12.01,12.34,11.72,11.82,12.85,13.46,13.72,13.69,12.61,12.9,11.01,11.85,12.21
Stokes,3.8,3.75,3.69,3.42,3.24,3.24,3.88,3.89,4.29,4.06,4,4.42,4.25,5.35,5.56,4.92,5.56,5.14,5.14
Surry,14.32,14.01,14.22,14.98,14.83,14.04,14.52,15.58,15.26,16.51,18.02,18.35,17.5,15.41,15.98,16.26,16.61,17.3,16.89
Swain,9.25,8.33,9.73,15.52,13.26,12.5,14.35,15.12,15.73,16.6,18.54,17.53,6.21,17.82,22.92,19.39,21.55,22,23.11
Transylvania,13.64,13.97,13.81,13.98,14.43,14.07,14.83,15.28,15.48,18.01,16.57,16.53,18.17,16.56,17.35,15.41,16.11,16.25,15.51
Tyrrell,4.82,2.41,2.39,2.37,2.36,2.39,2.35,0,0,0,0,0,0,0,0,0,0,0,0
Union,9.38,8.56,9.41,9.21,8.52,7.59,7.84,7.57,7.12,7.89,8.34,8.07,8.8,8.56,8.71,8.41,8.44,9.03,8.78
Vance,14.43,14.64,14.97,14.61,14.93,14.98,16.16,14.23,14.25,15.59,15.17,16.24,16.91,16.42,17.97,16.85,15.8,16.05,14.96
Wake,22.2,21.6,21.63,21.3,20.83,21.8,22.53,22.77,23.29,23.58,23.69,23.86,23.76,23.78,24.05,23.75,23.83,24.39,24.46
Warren,5.51,4.01,3.46,2.92,3.45,1.49,1.5,1,0.5,1,0.95,0.96,0.97,0.49,0.49,0.49,0.5,1.99,1.49
Washington,5.1,5.88,5.9,5.91,7.44,5.21,4.49,5.3,5.31,5.38,5.29,5.36,6.24,6.24,6.31,5.56,4.83,3.24,4.07
Watauga,24.59,24.13,24.33,23.84,24.55,25.61,25.8,26.18,26.48,27.76,24.35,24.18,23.99,24.68,23.62,21.59,21.64,22.25,21.62
Wayne,15.18,15.29,15.85,15.54,15.94,16.09,15.66,15.88,15.47,15.36,14.4,15.04,14.57,15.03,15.52,16,15.54,14.73,15.7
Wilkes,11.12,10.29,9.89,9.51,10.22,9.65,10.31,10.27,11.14,12.14,11.81,11.21,11.9,10.32,10.73,10.77,10,10.21,10.58
Wilson,14.63,15.46,14.23,14.21,13.89,13.76,14.33,14.75,13.68,13.5,15.07,14.75,14.06,14.25,15.11,14.57,15.9,15.6,15.78
Yadkin,4.95,4.65,4.83,4.48,4.53,4.83,4.23,3.96,4.72,4.21,4.94,4.94,4.97,4.98,4.76,4.24,3.98,4.51,3.98
Yancey,7.88,6.66,7.14,8.14,8.27,8.81,5.44,7.01,8.07,6.47,8.43,7.19,7.27,8.37,9.49,8.91,8.27,7.14,7.12
