,worldbank_stats_by_country_2015-2019.csv column names
53,"Poverty headcount ratio at $1.90 a day, age 15-64 (2011 PPP) (% of population age 15-64) 2018"
54,"Poverty headcount ratio at $1.90 a day, age 15-64 (2011 PPP) (% of population age 15-64) 2019"
55,"Poverty headcount ratio at $1.90 a day, without education (2011 PPP) (% of population age 16+ without education) 2015"
56,"Poverty headcount ratio at $1.90 a day, without education (2011 PPP) (% of population age 16+ without education) 2016"
57,"Poverty headcount ratio at $1.90 a day, without education (2011 PPP) (% of population age 16+ without education) 2017"
58,"Poverty headcount ratio at $1.90 a day, without education (2011 PPP) (% of population age 16+ without education) 2018"
59,"Poverty headcount ratio at $1.90 a day, without education (2011 PPP) (% of population age 16+ without education) 2019"
60,"Poverty headcount ratio at $1.90 a day, with primary education (2011 PPP) (% of population age 16+ with primary education) 2015"
61,"Poverty headcount ratio at $1.90 a day, with primary education (2011 PPP) (% of population age 16+ with primary education) 2016"
62,"Poverty headcount ratio at $1.90 a day, with primary education (2011 PPP) (% of population age 16+ with primary education) 2017"
63,"Poverty headcount ratio at $1.90 a day, with primary education (2011 PPP) (% of population age 16+ with primary education) 2018"
64,"Poverty headcount ratio at $1.90 a day, with primary education (2011 PPP) (% of population age 16+ with primary education) 2019"
65,"Poverty headcount ratio at $1.90 a day, with secondary education (2011 PPP) (% of population age 16+ with secondary education) 2015"
66,"Poverty headcount ratio at $1.90 a day, with secondary education (2011 PPP) (% of population age 16+ with secondary education) 2016"
67,"Poverty headcount ratio at $1.90 a day, with secondary education (2011 PPP) (% of population age 16+ with secondary education) 2017"
68,"Poverty headcount ratio at $1.90 a day, with secondary education (2011 PPP) (% of population age 16+ with secondary education) 2018"
69,"Poverty headcount ratio at $1.90 a day, with secondary education (2011 PPP) (% of population age 16+ with secondary education) 2019"
70,"Poverty headcount ratio at $1.90 a day,  with Tertiary/post-secondary education (2011 PPP) (% of population age 16+ with Tertiary/post-secondary education) 2015"
71,"Poverty headcount ratio at $1.90 a day,  with Tertiary/post-secondary education (2011 PPP) (% of population age 16+ with Tertiary/post-secondary education) 2016"
72,"Poverty headcount ratio at $1.90 a day,  with Tertiary/post-secondary education (2011 PPP) (% of population age 16+ with Tertiary/post-secondary education) 2017"
73,"Poverty headcount ratio at $1.90 a day,  with Tertiary/post-secondary education (2011 PPP) (% of population age 16+ with Tertiary/post-secondary education) 2018"
74,"Poverty headcount ratio at $1.90 a day,  with Tertiary/post-secondary education (2011 PPP) (% of population age 16+ with Tertiary/post-secondary education) 2019"
75,"Poverty headcount ratio at $1.90 a day, age 65+ (2011 PPP) (% of population age 65+) 2015"
76,"Poverty headcount ratio at $1.90 a day, age 65+ (2011 PPP) (% of population age 65+) 2016"
77,"Poverty headcount ratio at $1.90 a day, age 65+ (2011 PPP) (% of population age 65+) 2017"
78,"Poverty headcount ratio at $1.90 a day, age 65+ (2011 PPP) (% of population age 65+) 2018"
79,"Poverty headcount ratio at $1.90 a day, age 65+ (2011 PPP) (% of population age 65+) 2019"
80,"Poverty headcount ratio at $1.90 a day, Female (2011 PPP) (% of female population) 2015"
81,"Poverty headcount ratio at $1.90 a day, Female (2011 PPP) (% of female population) 2016"
82,"Poverty headcount ratio at $1.90 a day, Female (2011 PPP) (% of female population) 2017"
83,"Poverty headcount ratio at $1.90 a day, Female (2011 PPP) (% of female population) 2018"
84,"Poverty headcount ratio at $1.90 a day, Female (2011 PPP) (% of female population) 2019"
85,Growth component of change in poverty at $1.90 a day (2011 PPP) (% of change) 2015
86,Growth component of change in poverty at $1.90 a day (2011 PPP) (% of change) 2016
87,Growth component of change in poverty at $1.90 a day (2011 PPP) (% of change) 2017
88,Growth component of change in poverty at $1.90 a day (2011 PPP) (% of change) 2018
89,Growth component of change in poverty at $1.90 a day (2011 PPP) (% of change) 2019
90,"Poverty headcount ratio at $1.90 a day, Male  (2011 PPP) (% of male population) 2015"
91,"Poverty headcount ratio at $1.90 a day, Male  (2011 PPP) (% of male population) 2016"
92,"Poverty headcount ratio at $1.90 a day, Male  (2011 PPP) (% of male population) 2017"
93,"Poverty headcount ratio at $1.90 a day, Male  (2011 PPP) (% of male population) 2018"
94,"Poverty headcount ratio at $1.90 a day, Male  (2011 PPP) (% of male population) 2019"
95,"Multidimensional poverty, Monetary poverty (% of population deprived) 2015"
96,"Multidimensional poverty, Monetary poverty (% of population deprived) 2016"
97,"Multidimensional poverty, Monetary poverty (% of population deprived) 2017"
98,"Multidimensional poverty, Monetary poverty (% of population deprived) 2018"
99,"Multidimensional poverty, Monetary poverty (% of population deprived) 2019"
100,Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change) 2015
101,Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change) 2016
102,Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change) 2017
103,Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change) 2018
104,Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change) 2019
105,"Poverty headcount ratio at $1.90 a day, rural (2011 PPP) (% of rural population) 2015"
106,"Poverty headcount ratio at $1.90 a day, rural (2011 PPP) (% of rural population) 2016"
107,"Poverty headcount ratio at $1.90 a day, rural (2011 PPP) (% of rural population) 2017"
108,"Poverty headcount ratio at $1.90 a day, rural (2011 PPP) (% of rural population) 2018"
109,"Poverty headcount ratio at $1.90 a day, rural (2011 PPP) (% of rural population) 2019"
110,"Poverty headcount ratio at $1.90 a day, urban (2011 PPP) (% of urban population) 2015"
111,"Poverty headcount ratio at $1.90 a day, urban (2011 PPP) (% of urban population) 2016"
112,"Poverty headcount ratio at $1.90 a day, urban (2011 PPP) (% of urban population) 2017"
113,"Poverty headcount ratio at $1.90 a day, urban (2011 PPP) (% of urban population) 2018"
114,"Poverty headcount ratio at $1.90 a day, urban (2011 PPP) (% of urban population) 2019"
115,"Multidimensional poverty, Electricity (% of population deprived) 2015"
116,"Multidimensional poverty, Electricity (% of population deprived) 2016"
117,"Multidimensional poverty, Electricity (% of population deprived) 2017"
118,"Multidimensional poverty, Electricity (% of population deprived) 2018"
119,"Multidimensional poverty, Electricity (% of population deprived) 2019"
120,"Multidimensional poverty, Educational enrollment (% of population deprived) 2015"
121,"Multidimensional poverty, Educational enrollment (% of population deprived) 2016"
122,"Multidimensional poverty, Educational enrollment (% of population deprived) 2017"
123,"Multidimensional poverty, Educational enrollment (% of population deprived) 2018"
124,"Multidimensional poverty, Educational enrollment (% of population deprived) 2019"
125,Poverty gap at $1.90 a day (2011 PPP) (%) 2015
126,Poverty gap at $1.90 a day (2011 PPP) (%) 2016
127,Poverty gap at $1.90 a day (2011 PPP) (%) 2017
128,Poverty gap at $1.90 a day (2011 PPP) (%) 2018
129,Poverty gap at $1.90 a day (2011 PPP) (%) 2019
130,GINI index (World Bank estimate) 2015
131,GINI index (World Bank estimate) 2016
132,GINI index (World Bank estimate) 2017
133,GINI index (World Bank estimate) 2018
134,GINI index (World Bank estimate) 2019
135,"Multidimensional poverty, Headcount ratio (% of population) 2015"
136,"Multidimensional poverty, Headcount ratio (% of population) 2016"
137,"Multidimensional poverty, Headcount ratio (% of population) 2017"
138,"Multidimensional poverty, Headcount ratio (% of population) 2018"
139,"Multidimensional poverty, Headcount ratio (% of population) 2019"
140,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population) 2015
141,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population) 2016
142,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population) 2017
143,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population) 2018
144,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population) 2019
145,Poverty gap at $3.20 a day (2011 PPP) (%) 2015
146,Poverty gap at $3.20 a day (2011 PPP) (%) 2016
147,Poverty gap at $3.20 a day (2011 PPP) (%) 2017
148,Poverty gap at $3.20 a day (2011 PPP) (%) 2018
149,Poverty gap at $3.20 a day (2011 PPP) (%) 2019
150,Growth component of change in poverty at $3.20 a day (2011 PPP) (% of change) 2015
151,Growth component of change in poverty at $3.20 a day (2011 PPP) (% of change) 2016
152,Growth component of change in poverty at $3.20 a day (2011 PPP) (% of change) 2017
153,Growth component of change in poverty at $3.20 a day (2011 PPP) (% of change) 2018
154,Growth component of change in poverty at $3.20 a day (2011 PPP) (% of change) 2019
155,Number of poor at $3.20 a day (2011 PPP) (millions) 2015
156,Number of poor at $3.20 a day (2011 PPP) (millions) 2016
157,Number of poor at $3.20 a day (2011 PPP) (millions) 2017
158,Number of poor at $3.20 a day (2011 PPP) (millions) 2018
159,Number of poor at $3.20 a day (2011 PPP) (millions) 2019
160,Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change) 2015
161,Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change) 2016
162,Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change) 2017
163,Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change) 2018
164,Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change) 2019
165,Poverty gap at national poverty lines (%) 2015
166,Poverty gap at national poverty lines (%) 2016
167,Poverty gap at national poverty lines (%) 2017
168,Poverty gap at national poverty lines (%) 2018
169,Poverty gap at national poverty lines (%) 2019
170,"Poverty gap at national poverty lines (%), including noncomparable values 2015"
171,"Poverty gap at national poverty lines (%), including noncomparable values 2016"
172,"Poverty gap at national poverty lines (%), including noncomparable values 2017"
173,"Poverty gap at national poverty lines (%), including noncomparable values 2018"
174,"Poverty gap at national poverty lines (%), including noncomparable values 2019"
175,Poverty headcount ratio at national poverty lines (% of population) 2015
176,Poverty headcount ratio at national poverty lines (% of population) 2016
177,Poverty headcount ratio at national poverty lines (% of population) 2017
178,Poverty headcount ratio at national poverty lines (% of population) 2018
179,Poverty headcount ratio at national poverty lines (% of population) 2019
180,"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values 2015"
181,"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values 2016"
182,"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values 2017"
183,"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values 2018"
184,"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values 2019"
185,Number of poor at $1.90 a day (2011 PPP) (millions) 2015
186,Number of poor at $1.90 a day (2011 PPP) (millions) 2016
187,Number of poor at $1.90 a day (2011 PPP) (millions) 2017
188,Number of poor at $1.90 a day (2011 PPP) (millions) 2018
189,Number of poor at $1.90 a day (2011 PPP) (millions) 2019
190,Rural poverty gap at national poverty lines (%) 2015
191,Rural poverty gap at national poverty lines (%) 2016
192,Rural poverty gap at national poverty lines (%) 2017
193,Rural poverty gap at national poverty lines (%) 2018
194,Rural poverty gap at national poverty lines (%) 2019
195,"Rural poverty gap at national poverty lines (%), including noncomparable values 2015"
196,"Rural poverty gap at national poverty lines (%), including noncomparable values 2016"
197,"Rural poverty gap at national poverty lines (%), including noncomparable values 2017"
198,"Rural poverty gap at national poverty lines (%), including noncomparable values 2018"
199,"Rural poverty gap at national poverty lines (%), including noncomparable values 2019"
200,Rural poverty headcount ratio at national poverty lines (% of rural population) 2015
201,Rural poverty headcount ratio at national poverty lines (% of rural population) 2016
202,Rural poverty headcount ratio at national poverty lines (% of rural population) 2017
203,Rural poverty headcount ratio at national poverty lines (% of rural population) 2018
204,Rural poverty headcount ratio at national poverty lines (% of rural population) 2019
205,"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values 2015"
206,"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values 2016"
207,"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values 2017"
208,"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values 2018"
209,"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values 2019"
210,"Multidimensional poverty, Sanitation (% of population deprived) 2015"
211,"Multidimensional poverty, Sanitation (% of population deprived) 2016"
212,"Multidimensional poverty, Sanitation (% of population deprived) 2017"
213,"Multidimensional poverty, Sanitation (% of population deprived) 2018"
214,"Multidimensional poverty, Sanitation (% of population deprived) 2019"
215,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population) 2015
216,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population) 2016
217,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population) 2017
218,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population) 2018
219,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population) 2019
220,Poverty gap at $5.50 a day (2011 PPP) (%) 2015
221,Poverty gap at $5.50 a day (2011 PPP) (%) 2016
222,Poverty gap at $5.50 a day (2011 PPP) (%) 2017
223,Poverty gap at $5.50 a day (2011 PPP) (%) 2018
224,Poverty gap at $5.50 a day (2011 PPP) (%) 2019
225,Growth component of change in poverty at $5.50 a day (2011 PPP) (% of change) 2015
226,Growth component of change in poverty at $5.50 a day (2011 PPP) (% of change) 2016
227,Growth component of change in poverty at $5.50 a day (2011 PPP) (% of change) 2017
228,Growth component of change in poverty at $5.50 a day (2011 PPP) (% of change) 2018
229,Growth component of change in poverty at $5.50 a day (2011 PPP) (% of change) 2019
230,Number of poor at $5.50 a day (2011 PPP) (millions) 2015
231,Number of poor at $5.50 a day (2011 PPP) (millions) 2016
232,Number of poor at $5.50 a day (2011 PPP) (millions) 2017
233,Number of poor at $5.50 a day (2011 PPP) (millions) 2018
234,Number of poor at $5.50 a day (2011 PPP) (millions) 2019
235,Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change) 2015
236,Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change) 2016
237,Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change) 2017
238,Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change) 2018
239,Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change) 2019
240,Urban poverty gap at national poverty lines (%) 2015
241,Urban poverty gap at national poverty lines (%) 2016
242,Urban poverty gap at national poverty lines (%) 2017
243,Urban poverty gap at national poverty lines (%) 2018
244,Urban poverty gap at national poverty lines (%) 2019
245,"Urban poverty gap at national poverty lines (%), including noncomparable values 2015"
246,"Urban poverty gap at national poverty lines (%), including noncomparable values 2016"
247,"Urban poverty gap at national poverty lines (%), including noncomparable values 2017"
248,"Urban poverty gap at national poverty lines (%), including noncomparable values 2018"
249,"Urban poverty gap at national poverty lines (%), including noncomparable values 2019"
250,Urban poverty headcount ratio at national poverty lines (% of urban population) 2015
251,Urban poverty headcount ratio at national poverty lines (% of urban population) 2016
252,Urban poverty headcount ratio at national poverty lines (% of urban population) 2017
253,Urban poverty headcount ratio at national poverty lines (% of urban population) 2018
254,Urban poverty headcount ratio at national poverty lines (% of urban population) 2019
255,"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values 2015"
256,"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values 2016"
257,"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values 2017"
258,"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values 2018"
259,"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values 2019"
260,"Multidimensional poverty, Drinking water (% of population deprived) 2015"
261,"Multidimensional poverty, Drinking water (% of population deprived) 2016"
262,"Multidimensional poverty, Drinking water (% of population deprived) 2017"
263,"Multidimensional poverty, Drinking water (% of population deprived) 2018"
264,"Multidimensional poverty, Drinking water (% of population deprived) 2019"
265,Median daily per capita income or consumption expenditure (2011 PPP) 2015
266,Median daily per capita income or consumption expenditure (2011 PPP) 2016
267,Median daily per capita income or consumption expenditure (2011 PPP) 2017
268,Median daily per capita income or consumption expenditure (2011 PPP) 2018
269,Median daily per capita income or consumption expenditure (2011 PPP) 2019
270,Annualized growth in per capita real survey median income or consumption expenditure (%) 2015
271,Annualized growth in per capita real survey median income or consumption expenditure (%) 2016
272,Annualized growth in per capita real survey median income or consumption expenditure (%) 2017
273,Annualized growth in per capita real survey median income or consumption expenditure (%) 2018
274,Annualized growth in per capita real survey median income or consumption expenditure (%) 2019
275,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) 2015"
276,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) 2016"
277,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) 2017"
278,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) 2018"
279,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) 2019"
280,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%) 2015"
281,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%) 2016"
282,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%) 2017"
283,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%) 2018"
284,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%) 2019"
285,"Survey mean consumption or income per capita, total population (2011 PPP $ per day) 2015"
286,"Survey mean consumption or income per capita, total population (2011 PPP $ per day) 2016"
287,"Survey mean consumption or income per capita, total population (2011 PPP $ per day) 2017"
288,"Survey mean consumption or income per capita, total population (2011 PPP $ per day) 2018"
289,"Survey mean consumption or income per capita, total population (2011 PPP $ per day) 2019"
290,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%) 2015"
291,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%) 2016"
292,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%) 2017"
293,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%) 2018"
294,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%) 2019"
295,"Survey mean consumption or income per capita, top 10% (2011 PPP $ per day) 2015"
296,"Survey mean consumption or income per capita, top 10% (2011 PPP $ per day) 2016"
297,"Survey mean consumption or income per capita, top 10% (2011 PPP $ per day) 2017"
298,"Survey mean consumption or income per capita, top 10% (2011 PPP $ per day) 2018"
299,"Survey mean consumption or income per capita, top 10% (2011 PPP $ per day) 2019"
300,"Annualized growth in per capita real survey mean consumption or income, top 10% (%) 2015"
301,"Annualized growth in per capita real survey mean consumption or income, top 10% (%) 2016"
302,"Annualized growth in per capita real survey mean consumption or income, top 10% (%) 2017"
303,"Annualized growth in per capita real survey mean consumption or income, top 10% (%) 2018"
304,"Annualized growth in per capita real survey mean consumption or income, top 10% (%) 2019"
305,"Survey mean consumption or income per capita, top 60% (2011 PPP $ per day) 2015"
306,"Survey mean consumption or income per capita, top 60% (2011 PPP $ per day) 2016"
307,"Survey mean consumption or income per capita, top 60% (2011 PPP $ per day) 2017"
308,"Survey mean consumption or income per capita, top 60% (2011 PPP $ per day) 2018"
309,"Survey mean consumption or income per capita, top 60% (2011 PPP $ per day) 2019"
310,"Annualized growth in per capita real survey mean consumption or income, top 60% (%) 2015"
311,"Annualized growth in per capita real survey mean consumption or income, top 60% (%) 2016"
312,"Annualized growth in per capita real survey mean consumption or income, top 60% (%) 2017"
313,"Annualized growth in per capita real survey mean consumption or income, top 60% (%) 2018"
314,"Annualized growth in per capita real survey mean consumption or income, top 60% (%) 2019"
315,"Population, total 2015"
316,"Population, total 2016"
317,"Population, total 2017"
318,"Population, total 2018"
319,"Population, total 2019"
320,Human capital index (HCI) (scale 0-1) 2015
321,Human capital index (HCI) (scale 0-1) 2016
322,Human capital index (HCI) (scale 0-1) 2017
323,Human capital index (HCI) (scale 0-1) 2018
324,Human capital index (HCI) (scale 0-1) 2019
325,"Human capital index (HCI), female (scale 0-1) 2015"
326,"Human capital index (HCI), female (scale 0-1) 2016"
327,"Human capital index (HCI), female (scale 0-1) 2017"
328,"Human capital index (HCI), female (scale 0-1) 2018"
329,"Human capital index (HCI), female (scale 0-1) 2019"
330,"Human capital index (HCI), lower bound (scale 0-1) 2015"
331,"Human capital index (HCI), lower bound (scale 0-1) 2016"
332,"Human capital index (HCI), lower bound (scale 0-1) 2017"
333,"Human capital index (HCI), lower bound (scale 0-1) 2018"
334,"Human capital index (HCI), lower bound (scale 0-1) 2019"
335,"Human capital index (HCI), female, lower bound (scale 0-1) 2015"
336,"Human capital index (HCI), female, lower bound (scale 0-1) 2016"
337,"Human capital index (HCI), female, lower bound (scale 0-1) 2017"
338,"Human capital index (HCI), female, lower bound (scale 0-1) 2018"
339,"Human capital index (HCI), female, lower bound (scale 0-1) 2019"
340,"Human capital index (HCI), male, lower bound (scale 0-1) 2015"
341,"Human capital index (HCI), male, lower bound (scale 0-1) 2016"
342,"Human capital index (HCI), male, lower bound (scale 0-1) 2017"
343,"Human capital index (HCI), male, lower bound (scale 0-1) 2018"
344,"Human capital index (HCI), male, lower bound (scale 0-1) 2019"
345,"Human capital index (HCI), male (scale 0-1) 2015"
346,"Human capital index (HCI), male (scale 0-1) 2016"
347,"Human capital index (HCI), male (scale 0-1) 2017"
348,"Human capital index (HCI), male (scale 0-1) 2018"
349,"Human capital index (HCI), male (scale 0-1) 2019"
350,"Human capital index (HCI), upper bound (scale 0-1) 2015"
351,"Human capital index (HCI), upper bound (scale 0-1) 2016"
352,"Human capital index (HCI), upper bound (scale 0-1) 2017"
353,"Human capital index (HCI), upper bound (scale 0-1) 2018"
354,"Human capital index (HCI), upper bound (scale 0-1) 2019"
355,"Human capital index (HCI), female, upper bound (scale 0-1) 2015"
356,"Human capital index (HCI), female, upper bound (scale 0-1) 2016"
357,"Human capital index (HCI), female, upper bound (scale 0-1) 2017"
358,"Human capital index (HCI), female, upper bound (scale 0-1) 2018"
359,"Human capital index (HCI), female, upper bound (scale 0-1) 2019"
360,"Human capital index (HCI), male, upper bound (scale 0-1) 2015"
361,"Human capital index (HCI), male, upper bound (scale 0-1) 2016"
362,"Human capital index (HCI), male, upper bound (scale 0-1) 2017"
363,"Human capital index (HCI), male, upper bound (scale 0-1) 2018"
364,"Human capital index (HCI), male, upper bound (scale 0-1) 2019"
365,"GNI per capita, Atlas method (current US$) 2015"
366,"GNI per capita, Atlas method (current US$) 2016"
367,"GNI per capita, Atlas method (current US$) 2017"
368,"GNI per capita, Atlas method (current US$) 2018"
369,"GNI per capita, Atlas method (current US$) 2019"
370,"Literacy rate, youth (ages 15-24), gender parity index (GPI) 2015"
371,"Literacy rate, youth (ages 15-24), gender parity index (GPI) 2016"
372,"Literacy rate, youth (ages 15-24), gender parity index (GPI) 2017"
373,"Literacy rate, youth (ages 15-24), gender parity index (GPI) 2018"
374,"Literacy rate, youth (ages 15-24), gender parity index (GPI) 2019"
375,"Literacy rate, youth male (% of males ages 15-24) 2015"
376,"Literacy rate, youth male (% of males ages 15-24) 2016"
377,"Literacy rate, youth male (% of males ages 15-24) 2017"
378,"Literacy rate, youth male (% of males ages 15-24) 2018"
379,"Literacy rate, youth male (% of males ages 15-24) 2019"
380,"Literacy rate, youth total (% of people ages 15-24) 2015"
381,"Literacy rate, youth total (% of people ages 15-24) 2016"
382,"Literacy rate, youth total (% of people ages 15-24) 2017"
383,"Literacy rate, youth total (% of people ages 15-24) 2018"
384,"Literacy rate, youth total (% of people ages 15-24) 2019"
385,"Literacy rate, adult female (% of females ages 15 and above) 2015"
386,"Literacy rate, adult female (% of females ages 15 and above) 2016"
387,"Literacy rate, adult female (% of females ages 15 and above) 2017"
388,"Literacy rate, adult female (% of females ages 15 and above) 2018"
389,"Literacy rate, adult female (% of females ages 15 and above) 2019"
390,"Literacy rate, adult male (% of males ages 15 and above) 2015"
391,"Literacy rate, adult male (% of males ages 15 and above) 2016"
392,"Literacy rate, adult male (% of males ages 15 and above) 2017"
393,"Literacy rate, adult male (% of males ages 15 and above) 2018"
394,"Literacy rate, adult male (% of males ages 15 and above) 2019"
395,"Literacy rate, adult total (% of people ages 15 and above) 2015"
396,"Literacy rate, adult total (% of people ages 15 and above) 2016"
397,"Literacy rate, adult total (% of people ages 15 and above) 2017"
398,"Literacy rate, adult total (% of people ages 15 and above) 2018"
399,"Literacy rate, adult total (% of people ages 15 and above) 2019"
400,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14 2015
401,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14 2016
402,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14 2017
403,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14 2018
404,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14 2019
405,"Primary completion rate, female (% of relevant age group) 2015"
406,"Primary completion rate, female (% of relevant age group) 2016"
407,"Primary completion rate, female (% of relevant age group) 2017"
408,"Primary completion rate, female (% of relevant age group) 2018"
409,"Primary completion rate, female (% of relevant age group) 2019"
410,"Primary completion rate, male (% of relevant age group) 2015"
411,"Primary completion rate, male (% of relevant age group) 2016"
412,"Primary completion rate, male (% of relevant age group) 2017"
413,"Primary completion rate, male (% of relevant age group) 2018"
414,"Primary completion rate, male (% of relevant age group) 2019"
415,"Primary completion rate, total (% of relevant age group) 2015"
416,"Primary completion rate, total (% of relevant age group) 2016"
417,"Primary completion rate, total (% of relevant age group) 2017"
418,"Primary completion rate, total (% of relevant age group) 2018"
419,"Primary completion rate, total (% of relevant age group) 2019"
420,"School enrollment, primary (% gross) 2015"
421,"School enrollment, primary (% gross) 2016"
