State: North Carolina
Profession: Pharmacist
Specialty/PAOP: Pharmacist
Variable: rate per 10k
"Notes: Data include active, licensed pharmacists in practice in North Carolina as of October 31 of each year. Pharmacist"
" data are derived from the North Carolina Board of Pharmacy. Population census data and estimates are downloaded from the"
" North Carolina Office of State Budget and Management via NC LINC and are based on US Census data. Source: North Carolina"
" Health Professions Data System, Program on Health Workforce Research and Policy, Cecil G. Sheps Center for Health Services"
" Research, University of North Carolina at Chapel Hill. Created March 25, 2020 at https://nchealthworkforce.unc.edu/supply/."
county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Granville,8.25,7.65,8.29,8.53,7.87,8.52,8.73,8.44,10.13,10.97,10.15,10.52,10.93,11.92,11.88,11.1,10.94,11
Greene,2.11,1.58,3.09,2.01,2.96,2.96,1.92,1.89,1.41,1.87,2.34,0.93,3.74,3.8,2.82,3.31,1.87,0.93
Guilford,9.76,9.81,9.92,9.62,9.78,9.34,9.89,9.83,9.95,9.94,9.32,9.39,9.88,9.83,9.9,10.58,11.11,10.76
Halifax,6.62,6.48,6.29,6.28,6.5,5.86,6.47,6.32,6.52,6.52,6.77,7.54,7.56,8.38,9.02,9.16,9.01,8.68
Harnett,6.59,6.51,6.44,5.86,5.68,6.29,5.78,6.29,6.47,5.94,6.58,7.59,8.33,7.22,8.03,8.02,7.92,7.72
Haywood,7.96,7.33,6.52,7.52,7.62,7.01,6.88,6.49,6.83,7.24,8.12,8.38,8.77,8.38,8.18,6.6,7.45,8.51
Henderson,7.4,7.54,6.64,6.92,7.37,7.87,8.49,7.83,9.05,8.46,8.68,7.93,8.32,8.88,9.29,10.84,11.37,10.07
Hertford,10.62,9.47,8.55,8.08,7.14,7.13,5.44,7.16,8.02,6.68,8.09,8.58,8.59,9.34,9.36,11.05,12.06,12.11
Hoke,4.46,4.31,4.7,4.27,3.4,2.76,3.08,3.49,3.38,2.82,3.17,3.26,3.8,2.96,3.53,4.06,3.64,3.94
Hyde,1.72,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77
Iredell,9.21,9.15,9.7,9.34,9.02,9.92,9.5,9.71,10.64,9.93,9.81,9.78,9.87,9.33,10.53,10.99,10.9,10.65
Jackson,5.43,5.94,5.26,4.9,5.61,5.79,6.33,6.25,7.3,5.79,5.68,6.4,7.36,6.86,6.58,8.89,9.63,9.51
Johnston,6.23,6.42,6.43,6.43,6.54,6.44,6.2,5.91,5.84,6.24,6.7,6.55,6.86,7.28,7.22,7.32,7.23,7.29
Jones,2.89,3.88,1.93,1.91,1.95,1.96,2.91,1.94,2.91,2.95,2.95,2.91,2.83,2.84,3.82,3.84,3.86,4.83
Lee,6.53,6.5,6.38,7.24,7.12,7.33,6.87,6.74,6.61,7,6.89,7.38,6.94,7.41,7.6,9.17,9.45,8.26
Lenoir,12.91,13.82,14.45,13.89,12.69,14.22,14.61,16.13,15.82,16.95,16.3,16.52,16.33,18.12,14.11,16.97,17.54,17.05
Lincoln,6.59,6.73,6.89,6.45,6.85,6.36,6.59,6.32,6.57,6.21,6.48,7.09,7.44,7.15,6.98,7.86,8.41,7.45
Macon,6.71,5.92,8.05,7.58,7.19,6.2,6.95,12.2,6.72,6.67,7.07,7.55,7.94,7.61,8.71,8.05,9.42,10.45
Madison,4.07,3.54,3.99,3.45,3.96,3.93,3.42,2.93,3.36,5.28,5.29,6.13,5.66,6.08,6.02,6,6.82,5.85
Martin,5.86,6.71,6.3,7.47,8.82,7.33,6.56,3.86,6.28,5.87,5.71,6.23,6.24,5.89,6.33,7.16,6.78,9.36
McDowell,6.17,7,5.52,5.43,4.81,5.51,5.27,7.14,5.83,6.03,5.33,5.28,4.64,5.09,5.3,6.17,6.81,7.44
Mecklenburg,10.53,10.27,9.86,9.59,9.92,10.04,10.17,10.32,10.88,10.6,9.69,10.67,11.29,11.47,12.24,12.62,13.15,12.73
Mitchell,5.74,6.93,8.15,8.11,9.34,7.45,8.18,8.15,9.36,8.14,8.98,8.39,11.04,10.38,8.21,11.74,10.48,11.81
Montgomery,4.85,5.93,4.75,4.33,5.42,5.87,6.18,5.8,5.79,6.79,7.2,7.54,8.24,6.84,5.39,6.47,6.84,6.1
Moore,7.89,7.99,8.35,9.07,9.14,8.57,8.99,8.46,9.03,8.85,8.47,9.96,10.69,10.22,10.53,12.06,12.8,11.89
Nash,7.32,7.02,6.71,6.41,7.29,7.32,6.94,7.21,7.45,8.14,8.42,8.95,7.96,8.87,9.2,9.11,9.53,10.28
New Hanover,12.1,11.36,11.4,10.74,10.3,10.64,10.7,10.64,10.97,11.03,10.86,11.61,12.72,13.1,13.27,13.44,13.68,13.29
Northampton,3.17,1.82,2.26,1.8,1.83,1.86,2.79,2.35,2.37,2.86,1.81,1.83,1.86,2.35,2.83,3.32,2.89,2.9
Onslow,4.19,3.91,4.28,4.18,3.75,4.08,4.16,3.72,3.75,4.12,4.33,4.51,4.71,4.74,5.18,5.75,6.39,6.54
Orange,17.76,18.52,19.57,18.5,18.26,17.8,18.66,17.67,18.33,17.84,22.33,22.68,24.1,24.41,27.16,32.18,34.08,32.59
Pamlico,3.87,3.11,4.62,3.8,3.06,3.81,4.58,5.41,5.43,4.67,5.32,6.05,6.07,5.36,9.13,10.63,8.25,6.78
Pasquotank,7.45,9.71,9.33,8.69,8.72,9.18,8.76,8.56,8.26,8.39,8.85,8.9,10.52,10.39,9.83,11.07,10.67,9.61
Pender,4.14,4.76,5.31,6.06,6.47,5.42,4.93,5.35,4.82,5.27,5.52,4.3,4.6,4.32,4.78,5.87,5.38,4.26
Perquimans,2.64,2.6,2.58,3.43,4.24,3.35,2.41,2.36,3.1,2.32,2.97,2.95,2.93,3.63,4.4,3.66,3.69,3.69
Person,7.3,6.37,6.82,6.99,6.92,6.69,7.21,6.38,6.13,6.27,6.57,5.79,6.12,5.61,6.11,7.08,8.05,7.27
Pitt,14.13,13.41,13.99,13.04,12.69,12.69,12.71,12.57,12.79,13.43,11.93,11.92,12.4,13.52,14.28,14.93,15.12,15.64
Polk,6,7.43,7.82,6.65,6.77,5.74,5.76,4.2,5.27,5.69,6.31,6.84,6.91,5.34,4.82,3.84,5.23,5.67
Randolph,4.06,4.39,4.01,4,3.78,4.37,4.47,4.81,4.75,4.7,4.08,4.69,5.33,4.98,5.31,4.69,4.94,4.98
Richmond,6.44,6.01,6.42,6.62,6.22,6.89,6.42,6.64,7.04,7.47,7.93,8.82,8.21,8.47,8.56,8.38,8.68,8.46
Robeson,5.19,5.64,5.47,5.63,5.58,5.88,5.58,6.1,6.52,6.94,6.25,6.24,6.77,7.61,7.19,8.4,8.07,8.18
Rockingham,6.42,7.19,6.71,7.31,7.86,8.35,8.82,8.29,7.96,8.6,7.89,8.12,8.61,8.56,8.75,8.58,8.27,8.39
Rowan,6.98,7.06,7.69,7.2,7.47,7.53,7.28,8.5,7.87,8.54,7.93,8.75,8.83,9.3,10.38,7.85,7.73,9.94
Rutherford,5.25,5.52,5.94,5.89,6.73,6.62,7.12,7.47,6.76,6.27,6.18,7.31,7.21,6.19,6.66,6.95,6.65,6.49
Sampson,5.49,4.92,5.44,5.31,5.5,5.52,5.46,5.42,5.5,5.5,5.83,5.8,6.08,5.29,5.75,5.31,5.67,5.07
Scotland,6.67,7.84,7.22,7.72,8.13,7.83,8.38,9.23,8.36,7.58,7.48,8.05,7.97,7.73,7.77,8.93,8.66,8.41
Stanly,5.51,5.95,6.4,6.16,6.89,6.74,6.26,5.92,7.53,7.16,6.75,8.37,8.43,8.91,7.21,8.17,8.58,7.21
Stokes,4.03,4.42,4.35,4.06,4.1,3.68,3.45,4.11,4.07,4.27,4.42,3.79,4.25,3.85,3.85,4.7,4.92,4.92
Surry,7.44,7,7.46,6.94,6.87,7.3,7.81,7.79,8.31,8.26,8.54,8.43,8.55,8.59,8.4,9.56,9.61,9.2
Swain,4.63,3.79,2.99,2.96,3.68,5.15,6.46,7.2,5.72,7.22,4.99,4.91,5.52,6.17,6.74,4.68,4.71,8.67
Transylvania,5.45,6.47,7.41,5.99,6.71,7.71,3.95,7.48,9.36,9.33,8.74,9.62,9.39,8.73,8.08,9.19,9.67,7.25
Tyrrell,2.41,2.41,2.39,2.37,2.36,2.39,2.35,4.66,4.67,4.71,2.27,4.61,4.79,4.83,7.24,7.11,7.25,7.25
Union,4.45,4.32,3.75,4,4.7,5.63,6.1,6.64,7.59,7.23,7.95,7.87,8.9,7.85,8.61,9.55,9.47,7.93
Vance,6.75,7.55,7.26,7.42,8.37,7.26,7.97,7.8,7.82,8.71,7.48,9,8.57,9.54,8.87,7.76,8.45,8.02
Wake,10.99,10.95,10.62,10.5,10.88,11.2,11.3,11.05,12.03,11.53,12.11,12.14,13.15,13.19,14.36,16.17,16.67,15.1
Warren,3.5,4.01,3.95,3.9,3.45,3.97,5.01,4.02,4.52,3.51,3.33,2.39,2.42,2.93,1.95,2.44,2.48,2.98
Washington,4.37,4.41,4.42,4.43,4.47,4.47,4.49,5.3,6.07,6.92,6.81,6.13,5.46,5.46,5.52,7.15,6.44,4.86
Watauga,7.26,8.67,9.04,7.79,7.41,8.85,7.83,8.05,9.71,8.81,8.38,7.87,8,9.11,10.01,9.49,8.73,8.9
Wayne,7.06,7.25,7.27,7.64,8.19,6.83,7.31,7.29,7.43,7.98,7.16,6.87,6.96,7.59,7.88,8.4,8.65,8.72
Wilkes,4.72,4.69,4.8,5.05,4.59,4.6,4.78,5.06,5.2,5.33,5.62,5.32,5.73,5.45,5.87,5.45,4.71,5.1
Wilson,7.72,8.2,9.31,9.47,8.12,8.83,9.16,8.98,9.25,9.25,8.7,9.46,9.54,7.99,8.35,8.32,8.07,8.29
Yadkin,3.58,3.28,3.22,3.42,4.26,2.68,2.64,3.43,3.67,3.95,4.42,3.38,3.66,3.41,3.44,3.45,3.98,3.71
Yancey,3.94,3.89,4.39,3.26,3.31,4.4,3.81,2.7,2.69,3.23,3.93,5.53,2.8,3.91,6.14,6.13,4.96,4.95
